e,E,s,k
kline,1714310442005,BTCUSDT,"{'t': 1714310441000, 'T': 1714310441999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021789, 'L': 3577021792, 'o': '63760.00000000', 'c': '63759.99000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.01561000', 'n': 4, 'x': True, 'q': '995.29355000', 'V': '0.01061000', 'Q': '676.49360000', 'B': '0'}"
kline,1714310443005,BTCUSDT,"{'t': 1714310442000, 'T': 1714310442999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021793, 'L': 3577021797, 'o': '63759.99000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.00211000', 'n': 5, 'x': True, 'q': '134.53359620', 'V': '0.00173000', 'Q': '110.30480000', 'B': '0'}"
kline,1714310444005,BTCUSDT,"{'t': 1714310443000, 'T': 1714310443999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021798, 'L': 3577021805, 'o': '63760.00000000', 'c': '63760.00000000', 'h': '63760.00000000', 'l': '63759.99000000', 'v': '0.02412000', 'n': 8, 'x': True, 'q': '1537.89101440', 'V': '0.00556000', 'Q': '354.50560000', 'B': '0'}"
kline,1714310445005,BTCUSDT,"{'t': 1714310444000, 'T': 1714310444999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021806, 'L': 3577021850, 'o': '63759.99000000', 'c': '63754.37000000', 'h': '63759.99000000', 'l': '63754.36000000', 'v': '1.27095000', 'n': 45, 'x': True, 'q': '81034.21863320', 'V': '0.00074000', 'Q': '47.17861030', 'B': '0'}"
kline,1714310446005,BTCUSDT,"{'t': 1714310445000, 'T': 1714310445999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021851, 'L': 3577021856, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.06714000', 'n': 6, 'x': True, 'q': '4280.46839870', 'V': '0.06683000', 'Q': '4260.70454710', 'B': '0'}"
kline,1714310447005,BTCUSDT,"{'t': 1714310446000, 'T': 1714310446999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021857, 'L': 3577021859, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00124000', 'n': 3, 'x': True, 'q': '79.05540980', 'V': '0.00034000', 'Q': '21.67648580', 'B': '0'}"
kline,1714310448005,BTCUSDT,"{'t': 1714310447000, 'T': 1714310447999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021860, 'L': 3577021865, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00692000', 'n': 6, 'x': True, 'q': '441.18019130', 'V': '0.00201000', 'Q': '128.14628370', 'B': '0'}"
kline,1714310449004,BTCUSDT,"{'t': 1714310448000, 'T': 1714310448999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021866, 'L': 3577021867, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00167000', 'n': 2, 'x': True, 'q': '106.46979790', 'V': '0.00167000', 'Q': '106.46979790', 'B': '0'}"
kline,1714310450005,BTCUSDT,"{'t': 1714310449000, 'T': 1714310449999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021868, 'L': 3577021870, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00088000', 'n': 3, 'x': True, 'q': '56.10384410', 'V': '0.00073000', 'Q': '46.54069010', 'B': '0'}"
kline,1714310451005,BTCUSDT,"{'t': 1714310450000, 'T': 1714310450999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021871, 'L': 3577021871, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.09999000', 'n': 1, 'x': True, 'q': '6374.79945630', 'V': '0.09999000', 'Q': '6374.79945630', 'B': '0'}"
kline,1714310452004,BTCUSDT,"{'t': 1714310451000, 'T': 1714310451999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021872, 'L': 3577021873, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.00746000', 'n': 2, 'x': True, 'q': '475.60752560', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310453005,BTCUSDT,"{'t': 1714310452000, 'T': 1714310452999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021874, 'L': 3577021875, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.01254000', 'n': 2, 'x': True, 'q': '799.47979610', 'V': '0.01217000', 'Q': '775.89068290', 'B': '0'}"
kline,1714310454005,BTCUSDT,"{'t': 1714310453000, 'T': 1714310453999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021876, 'L': 3577021879, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.02471000', 'n': 4, 'x': True, 'q': '1575.37033790', 'V': '0.01023000', 'Q': '652.20720510', 'B': '0'}"
kline,1714310455005,BTCUSDT,"{'t': 1714310454000, 'T': 1714310454999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021880, 'L': 3577021880, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00470000', 'n': 1, 'x': True, 'q': '299.64553900', 'V': '0.00470000', 'Q': '299.64553900', 'B': '0'}"
kline,1714310456005,BTCUSDT,"{'t': 1714310455000, 'T': 1714310455999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021881, 'L': 3577021881, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00784000', 'n': 1, 'x': True, 'q': '499.83426080', 'V': '0.00784000', 'Q': '499.83426080', 'B': '0'}"
kline,1714310457005,BTCUSDT,"{'t': 1714310456000, 'T': 1714310456999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021882, 'L': 3577021885, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.04141000', 'n': 4, 'x': True, 'q': '2640.06845580', 'V': '0.04082000', 'Q': '2602.45338340', 'B': '0'}"
kline,1714310458004,BTCUSDT,"{'t': 1714310457000, 'T': 1714310457999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021886, 'L': 3577021887, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00216000', 'n': 2, 'x': True, 'q': '137.70943200', 'V': '0.00144000', 'Q': '91.80629280', 'B': '0'}"
kline,1714310459004,BTCUSDT,"{'t': 1714310458000, 'T': 1714310458999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021888, 'L': 3577021889, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00045000', 'n': 2, 'x': True, 'q': '28.68946370', 'V': '0.00017000', 'Q': '10.83824290', 'B': '0'}"
kline,1714310460005,BTCUSDT,"{'t': 1714310459000, 'T': 1714310459999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021890, 'L': 3577021928, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.03698000', 'n': 39, 'x': True, 'q': '2357.63639810', 'V': '0.01653000', 'Q': '1053.85973610', 'B': '0'}"
kline,1714310461005,BTCUSDT,"{'t': 1714310460000, 'T': 1714310460999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021929, 'L': 3577021949, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.16656000', 'n': 21, 'x': True, 'q': '10618.92629650', 'V': '0.00949000', 'Q': '605.02897130', 'B': '0'}"
kline,1714310462005,BTCUSDT,"{'t': 1714310461000, 'T': 1714310461999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021950, 'L': 3577021962, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.21113000', 'n': 13, 'x': True, 'q': '13460.45810240', 'V': '0.00756000', 'Q': '481.98303720', 'B': '0'}"
kline,1714310463005,BTCUSDT,"{'t': 1714310462000, 'T': 1714310462999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021963, 'L': 3577021971, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.25242000', 'n': 9, 'x': True, 'q': '16092.87597140', 'V': '0.04202000', 'Q': '2678.95862740', 'B': '0'}"
kline,1714310464006,BTCUSDT,"{'t': 1714310463000, 'T': 1714310463999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021972, 'L': 3577021975, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.10382000', 'n': 4, 'x': True, 'q': '6618.97765520', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310465005,BTCUSDT,"{'t': 1714310464000, 'T': 1714310464999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021976, 'L': 3577021976, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.03542000', 'n': 1, 'x': True, 'q': '2258.17943120', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310466005,BTCUSDT,"{'t': 1714310465000, 'T': 1714310465999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021977, 'L': 3577021983, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.10046000', 'n': 7, 'x': True, 'q': '6404.76321850', 'V': '0.02129000', 'Q': '1357.33053730', 'B': '0'}"
kline,1714310467005,BTCUSDT,"{'t': 1714310466000, 'T': 1714310466999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021984, 'L': 3577021986, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00153000', 'n': 3, 'x': True, 'q': '97.54418510', 'V': '0.00143000', 'Q': '91.16874910', 'B': '0'}"
kline,1714310468005,BTCUSDT,"{'t': 1714310467000, 'T': 1714310467999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021987, 'L': 3577021991, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00456000', 'n': 5, 'x': True, 'q': '290.71988920', 'V': '0.00076000', 'Q': '48.45332120', 'B': '0'}"
kline,1714310469005,BTCUSDT,"{'t': 1714310468000, 'T': 1714310468999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310470005,BTCUSDT,"{'t': 1714310469000, 'T': 1714310469999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021992, 'L': 3577021993, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63754.36000000', 'v': '0.00150000', 'n': 2, 'x': True, 'q': '95.63154000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
