e,E,s,k
kline,1714310492005,BTCUSDT,"{'t': 1714310491000, 'T': 1714310491999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022065, 'L': 3577022067, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00386000', 'n': 3, 'x': True, 'q': '246.09186820', 'V': '0.00386000', 'Q': '246.09186820', 'B': '0'}"
kline,1714310493006,BTCUSDT,"{'t': 1714310492000, 'T': 1714310492999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022068, 'L': 3577022069, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.02594000', 'n': 2, 'x': True, 'q': '1653.78835780', 'V': '0.02594000', 'Q': '1653.78835780', 'B': '0'}"
kline,1714310494005,BTCUSDT,"{'t': 1714310493000, 'T': 1714310493999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022070, 'L': 3577022073, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00080000', 'n': 4, 'x': True, 'q': '51.00349460', 'V': '0.00066000', 'Q': '42.07788420', 'B': '0'}"
kline,1714310495005,BTCUSDT,"{'t': 1714310494000, 'T': 1714310494999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022074, 'L': 3577022123, 'o': '63754.36000000', 'c': '63751.88000000', 'h': '63754.36000000', 'l': '63751.87000000', 'v': '2.93997000', 'n': 50, 'x': True, 'q': '187435.64296810', 'V': '0.00309000', 'Q': '196.99330920', 'B': '0'}"
kline,1714310496004,BTCUSDT,"{'t': 1714310495000, 'T': 1714310495999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022124, 'L': 3577022156, 'o': '63751.88000000', 'c': '63751.88000000', 'h': '63751.88000000', 'l': '63751.87000000', 'v': '0.07195000', 'n': 33, 'x': True, 'q': '4586.94760890', 'V': '0.05624000', 'Q': '3585.40573120', 'B': '0'}"
kline,1714310497005,BTCUSDT,"{'t': 1714310496000, 'T': 1714310496999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022157, 'L': 3577022182, 'o': '63751.88000000', 'c': '63754.36000000', 'h': '63754.36000000', 'l': '63751.87000000', 'v': '0.36346000', 'n': 26, 'x': True, 'q': '23171.25874040', 'V': '0.36247000', 'Q': '23108.14438910', 'B': '0'}"
kline,1714310498005,BTCUSDT,"{'t': 1714310497000, 'T': 1714310497999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022183, 'L': 3577022258, 'o': '63754.37000000', 'c': '63759.50000000', 'h': '63759.50000000', 'l': '63754.37000000', 'v': '0.22830000', 'n': 76, 'x': True, 'q': '14555.26234360', 'V': '0.22347000', 'Q': '14247.32160970', 'B': '0'}"
kline,1714310499005,BTCUSDT,"{'t': 1714310498000, 'T': 1714310498999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022259, 'L': 3577022363, 'o': '63759.50000000', 'c': '63772.00000000', 'h': '63772.00000000', 'l': '63759.50000000', 'v': '3.57009000', 'n': 105, 'x': True, 'q': '227640.91920100', 'V': '3.57009000', 'Q': '227640.91920100', 'B': '0'}"
kline,1714310500005,BTCUSDT,"{'t': 1714310499000, 'T': 1714310499999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022364, 'L': 3577022368, 'o': '63771.99000000', 'c': '63772.00000000', 'h': '63772.00000000', 'l': '63771.99000000', 'v': '0.00091000', 'n': 5, 'x': True, 'q': '58.03251350', 'V': '0.00026000', 'Q': '16.58072000', 'B': '0'}"
kline,1714310501005,BTCUSDT,"{'t': 1714310500000, 'T': 1714310500999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022369, 'L': 3577022372, 'o': '63772.00000000', 'c': '63771.99000000', 'h': '63772.00000000', 'l': '63771.99000000', 'v': '0.06530000', 'n': 4, 'x': True, 'q': '4164.31156550', 'V': '0.06185000', 'Q': '3944.29820000', 'B': '0'}"
kline,1714310502004,BTCUSDT,"{'t': 1714310501000, 'T': 1714310501999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022373, 'L': 3577022373, 'o': '63771.99000000', 'c': '63771.99000000', 'h': '63771.99000000', 'l': '63771.99000000', 'v': '0.00026000', 'n': 1, 'x': True, 'q': '16.58071740', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310503005,BTCUSDT,"{'t': 1714310502000, 'T': 1714310502999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022374, 'L': 3577022400, 'o': '63772.00000000', 'c': '63777.05000000', 'h': '63777.05000000', 'l': '63772.00000000', 'v': '0.42204000', 'n': 27, 'x': True, 'q': '26914.34945060', 'V': '0.42204000', 'Q': '26914.34945060', 'B': '0'}"
kline,1714310504005,BTCUSDT,"{'t': 1714310503000, 'T': 1714310503999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022401, 'L': 3577022429, 'o': '63777.05000000', 'c': '63786.72000000', 'h': '63786.73000000', 'l': '63777.05000000', 'v': '0.21911000', 'n': 29, 'x': True, 'q': '13974.56471630', 'V': '0.21898000', 'Q': '13966.27244270', 'B': '0'}"
kline,1714310505005,BTCUSDT,"{'t': 1714310504000, 'T': 1714310504999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022430, 'L': 3577022438, 'o': '63786.73000000', 'c': '63786.73000000', 'h': '63786.73000000', 'l': '63786.72000000', 'v': '0.16033000', 'n': 9, 'x': True, 'q': '10226.92635260', 'V': '0.15350000', 'Q': '9791.26305500', 'B': '0'}"
kline,1714310506005,BTCUSDT,"{'t': 1714310505000, 'T': 1714310505999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022439, 'L': 3577022584, 'o': '63786.73000000', 'c': '63799.99000000', 'h': '63800.00000000', 'l': '63786.72000000', 'v': '1.83384000', 'n': 146, 'x': True, 'q': '116983.52043250', 'V': '1.82210000', 'Q': '116234.52869670', 'B': '0'}"
kline,1714310507008,BTCUSDT,"{'t': 1714310506000, 'T': 1714310506999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022585, 'L': 3577022771, 'o': '63800.00000000', 'c': '63808.00000000', 'h': '63808.00000000', 'l': '63800.00000000', 'v': '2.10599000', 'n': 187, 'x': True, 'q': '134362.63837260', 'V': '2.09571000', 'Q': '133706.70991540', 'B': '0'}"
kline,1714310508007,BTCUSDT,"{'t': 1714310507000, 'T': 1714310507999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022772, 'L': 3577023203, 'o': '63807.99000000', 'c': '63839.35000000', 'h': '63839.35000000', 'l': '63807.99000000', 'v': '24.55502000', 'n': 432, 'x': True, 'q': '1566898.32975160', 'V': '24.52634000', 'Q': '1565067.68421640', 'B': '0'}"
kline,1714310509010,BTCUSDT,"{'t': 1714310508000, 'T': 1714310508999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023204, 'L': 3577023269, 'o': '63839.34000000', 'c': '63830.85000000', 'h': '63839.35000000', 'l': '63830.85000000', 'v': '5.38556000', 'n': 66, 'x': True, 'q': '343798.97302950', 'V': '0.63503000', 'Q': '40539.89113880', 'B': '0'}"
kline,1714310510005,BTCUSDT,"{'t': 1714310509000, 'T': 1714310509999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023270, 'L': 3577023334, 'o': '63830.85000000', 'c': '63838.53000000', 'h': '63838.54000000', 'l': '63830.85000000', 'v': '1.76852000', 'n': 65, 'x': True, 'q': '112886.28747700', 'V': '1.74870000', 'Q': '111621.04041140', 'B': '0'}"
kline,1714310511005,BTCUSDT,"{'t': 1714310510000, 'T': 1714310510999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023335, 'L': 3577023365, 'o': '63838.54000000', 'c': '63838.54000000', 'h': '63838.54000000', 'l': '63838.53000000', 'v': '0.85187000', 'n': 31, 'x': True, 'q': '54382.13638320', 'V': '0.78321000', 'Q': '49998.98291340', 'B': '0'}"
kline,1714310512005,BTCUSDT,"{'t': 1714310511000, 'T': 1714310511999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023366, 'L': 3577023402, 'o': '63838.54000000', 'c': '63830.95000000', 'h': '63838.54000000', 'l': '63830.95000000', 'v': '0.67858000', 'n': 37, 'x': True, 'q': '43318.10571910', 'V': '0.17751000', 'Q': '11331.52467030', 'B': '0'}"
kline,1714310513005,BTCUSDT,"{'t': 1714310512000, 'T': 1714310512999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023403, 'L': 3577023430, 'o': '63830.94000000', 'c': '63823.26000000', 'h': '63830.95000000', 'l': '63823.26000000', 'v': '0.74536000', 'n': 28, 'x': True, 'q': '47575.88650520', 'V': '0.07778000', 'Q': '4964.17431630', 'B': '0'}"
kline,1714310514005,BTCUSDT,"{'t': 1714310513000, 'T': 1714310513999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023431, 'L': 3577023439, 'o': '63823.25000000', 'c': '63822.00000000', 'h': '63823.25000000', 'l': '63822.00000000', 'v': '0.06706000', 'n': 9, 'x': True, 'q': '4279.91239270', 'V': '0.01189000', 'Q': '758.84369890', 'B': '0'}"
kline,1714310515005,BTCUSDT,"{'t': 1714310514000, 'T': 1714310514999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023440, 'L': 3577023445, 'o': '63822.00000000', 'c': '63822.01000000', 'h': '63822.01000000', 'l': '63822.00000000', 'v': '0.01222000', 'n': 6, 'x': True, 'q': '779.90484800', 'V': '0.00080000', 'Q': '51.05760800', 'B': '0'}"
kline,1714310516005,BTCUSDT,"{'t': 1714310515000, 'T': 1714310515999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023446, 'L': 3577023447, 'o': '63822.00000000', 'c': '63822.01000000', 'h': '63822.01000000', 'l': '63822.00000000', 'v': '0.07353000', 'n': 2, 'x': True, 'q': '4692.83238040', 'V': '0.07204000', 'Q': '4597.73760040', 'B': '0'}"
kline,1714310517004,BTCUSDT,"{'t': 1714310516000, 'T': 1714310516999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023448, 'L': 3577023450, 'o': '63822.01000000', 'c': '63822.01000000', 'h': '63822.01000000', 'l': '63822.01000000', 'v': '0.02415000', 'n': 3, 'x': True, 'q': '1541.30154150', 'V': '0.02415000', 'Q': '1541.30154150', 'B': '0'}"
kline,1714310518005,BTCUSDT,"{'t': 1714310517000, 'T': 1714310517999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023451, 'L': 3577023452, 'o': '63822.01000000', 'c': '63822.01000000', 'h': '63822.01000000', 'l': '63822.01000000', 'v': '0.00896000', 'n': 2, 'x': True, 'q': '571.84520960', 'V': '0.00896000', 'Q': '571.84520960', 'B': '0'}"
kline,1714310519004,BTCUSDT,"{'t': 1714310518000, 'T': 1714310518999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023453, 'L': 3577023485, 'o': '63822.00000000', 'c': '63829.46000000', 'h': '63829.46000000', 'l': '63822.00000000', 'v': '0.91232000', 'n': 33, 'x': True, 'q': '58228.93523190', 'V': '0.87739000', 'Q': '55999.39534040', 'B': '0'}"
kline,1714310520005,BTCUSDT,"{'t': 1714310519000, 'T': 1714310519999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023486, 'L': 3577023508, 'o': '63829.45000000', 'c': '63829.46000000', 'h': '63829.46000000', 'l': '63829.45000000', 'v': '0.02064000', 'n': 23, 'x': True, 'q': '1317.43993310', 'V': '0.00851000', 'Q': '543.18870460', 'B': '0'}"
kline,1714310521005,BTCUSDT,"{'t': 1714310520000, 'T': 1714310520999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023509, 'L': 3577023542, 'o': '63829.46000000', 'c': '63829.46000000', 'h': '63829.46000000', 'l': '63829.45000000', 'v': '0.02934000', 'n': 34, 'x': True, 'q': '1872.75621450', 'V': '0.01515000', 'Q': '967.01631900', 'B': '0'}"
kline,1714310522005,BTCUSDT,"{'t': 1714310521000, 'T': 1714310521999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023543, 'L': 3577023713, 'o': '63829.45000000', 'c': '63842.52000000', 'h': '63842.52000000', 'l': '63829.45000000', 'v': '1.08604000', 'n': 171, 'x': True, 'q': '69329.50720490', 'V': '1.06815000', 'Q': '68187.49510220', 'B': '0'}"
kline,1714310523005,BTCUSDT,"{'t': 1714310522000, 'T': 1714310522999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577023714, 'L': 3577024013, 'o': '63842.52000000', 'c': '63860.51000000', 'h': '63860.52000000', 'l': '63842.52000000', 'v': '4.50148000', 'n': 300, 'x': True, 'q': '287426.41346850', 'V': '4.45679000', 'Q': '284572.48995450', 'B': '0'}"
kline,1714310524005,BTCUSDT,"{'t': 1714310523000, 'T': 1714310523999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024014, 'L': 3577024049, 'o': '63860.52000000', 'c': '63857.19000000', 'h': '63860.52000000', 'l': '63857.19000000', 'v': '1.72894000', 'n': 36, 'x': True, 'q': '110410.75646710', 'V': '0.04080000', 'Q': '2605.50656000', 'B': '0'}"
kline,1714310525005,BTCUSDT,"{'t': 1714310524000, 'T': 1714310524999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024050, 'L': 3577024068, 'o': '63857.19000000', 'c': '63854.80000000', 'h': '63857.20000000', 'l': '63854.01000000', 'v': '0.41881000', 'n': 19, 'x': True, 'q': '26744.02711770', 'V': '0.00099000', 'Q': '63.21697200', 'B': '0'}"
kline,1714310526005,BTCUSDT,"{'t': 1714310525000, 'T': 1714310525999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024069, 'L': 3577024079, 'o': '63854.01000000', 'c': '63852.00000000', 'h': '63854.01000000', 'l': '63852.00000000', 'v': '0.34699000', 'n': 11, 'x': True, 'q': '22156.02774240', 'V': '0.32643000', 'Q': '20843.21162430', 'B': '0'}"
kline,1714310527005,BTCUSDT,"{'t': 1714310526000, 'T': 1714310526999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024080, 'L': 3577024084, 'o': '63852.00000000', 'c': '63852.00000000', 'h': '63852.01000000', 'l': '63852.00000000', 'v': '0.05487000', 'n': 5, 'x': True, 'q': '3503.55972050', 'V': '0.04805000', 'Q': '3068.08908050', 'B': '0'}"
kline,1714310528005,BTCUSDT,"{'t': 1714310527000, 'T': 1714310527999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024085, 'L': 3577024102, 'o': '63852.01000000', 'c': '63848.15000000', 'h': '63852.01000000', 'l': '63848.15000000', 'v': '0.23111000', 'n': 18, 'x': True, 'q': '14756.76436680', 'V': '0.02296000', 'Q': '1466.04214960', 'B': '0'}"
kline,1714310529004,BTCUSDT,"{'t': 1714310528000, 'T': 1714310528999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024103, 'L': 3577024132, 'o': '63848.00000000', 'c': '63838.53000000', 'h': '63848.01000000', 'l': '63838.53000000', 'v': '0.86284000', 'n': 30, 'x': True, 'q': '55086.29756480', 'V': '0.10800000', 'Q': '6895.37051820', 'B': '0'}"
kline,1714310530005,BTCUSDT,"{'t': 1714310529000, 'T': 1714310529999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024133, 'L': 3577024138, 'o': '63838.53000000', 'c': '63838.54000000', 'h': '63838.54000000', 'l': '63838.53000000', 'v': '0.03269000', 'n': 6, 'x': True, 'q': '2086.88187040', 'V': '0.03247000', 'Q': '2072.83739380', 'B': '0'}"
kline,1714310531005,BTCUSDT,"{'t': 1714310530000, 'T': 1714310530999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024139, 'L': 3577024141, 'o': '63838.54000000', 'c': '63838.53000000', 'h': '63838.54000000', 'l': '63838.53000000', 'v': '0.08924000', 'n': 3, 'x': True, 'q': '5696.95041870', 'V': '0.00015000', 'Q': '9.57578100', 'B': '0'}"
kline,1714310532005,BTCUSDT,"{'t': 1714310531000, 'T': 1714310531999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024142, 'L': 3577024196, 'o': '63838.53000000', 'c': '63824.44000000', 'h': '63838.53000000', 'l': '63824.44000000', 'v': '0.72895000', 'n': 55, 'x': True, 'q': '46533.40188070', 'V': '0.00809000', 'Q': '516.39331140', 'B': '0'}"
kline,1714310533005,BTCUSDT,"{'t': 1714310532000, 'T': 1714310532999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024197, 'L': 3577024207, 'o': '63824.45000000', 'c': '63824.45000000', 'h': '63824.45000000', 'l': '63824.44000000', 'v': '0.34902000', 'n': 11, 'x': True, 'q': '22276.00642420', 'V': '0.03754000', 'Q': '2395.96985300', 'B': '0'}"
kline,1714310534005,BTCUSDT,"{'t': 1714310533000, 'T': 1714310533999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024208, 'L': 3577024239, 'o': '63824.44000000', 'c': '63817.81000000', 'h': '63824.44000000', 'l': '63817.81000000', 'v': '0.89429000', 'n': 32, 'x': True, 'q': '57074.92756560', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310535005,BTCUSDT,"{'t': 1714310534000, 'T': 1714310534999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024240, 'L': 3577024255, 'o': '63817.81000000', 'c': '63816.01000000', 'h': '63817.82000000', 'l': '63816.00000000', 'v': '0.11948000', 'n': 16, 'x': True, 'q': '7624.87908820', 'V': '0.01548000', 'Q': '987.89911150', 'B': '0'}"
kline,1714310536005,BTCUSDT,"{'t': 1714310535000, 'T': 1714310535999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024256, 'L': 3577024283, 'o': '63816.00000000', 'c': '63810.00000000', 'h': '63816.00000000', 'l': '63810.00000000', 'v': '0.44208000', 'n': 28, 'x': True, 'q': '28211.02183040', 'V': '0.01456000', 'Q': '929.15179530', 'B': '0'}"
kline,1714310537005,BTCUSDT,"{'t': 1714310536000, 'T': 1714310536999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024284, 'L': 3577024287, 'o': '63810.01000000', 'c': '63810.00000000', 'h': '63810.01000000', 'l': '63810.00000000', 'v': '0.01202000', 'n': 4, 'x': True, 'q': '766.99628360', 'V': '0.00836000', 'Q': '533.45168360', 'B': '0'}"
kline,1714310538005,BTCUSDT,"{'t': 1714310537000, 'T': 1714310537999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024288, 'L': 3577024293, 'o': '63810.01000000', 'c': '63810.00000000', 'h': '63810.01000000', 'l': '63810.00000000', 'v': '0.06345000', 'n': 6, 'x': True, 'q': '4048.74450150', 'V': '0.00015000', 'Q': '9.57150150', 'B': '0'}"
kline,1714310539005,BTCUSDT,"{'t': 1714310538000, 'T': 1714310538999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024294, 'L': 3577024335, 'o': '63810.00000000', 'c': '63800.24000000', 'h': '63810.00000000', 'l': '63800.24000000', 'v': '0.43585000', 'n': 42, 'x': True, 'q': '27810.26786760', 'V': '0.00480000', 'Q': '306.28800000', 'B': '0'}"
kline,1714310540005,BTCUSDT,"{'t': 1714310539000, 'T': 1714310539999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024336, 'L': 3577024360, 'o': '63800.25000000', 'c': '63796.58000000', 'h': '63800.25000000', 'l': '63796.58000000', 'v': '0.35986000', 'n': 25, 'x': True, 'q': '22958.96202740', 'V': '0.00852000', 'Q': '543.57564120', 'B': '0'}"
kline,1714310541006,BTCUSDT,"{'t': 1714310540000, 'T': 1714310540999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024361, 'L': 3577024369, 'o': '63796.59000000', 'c': '63794.77000000', 'h': '63796.59000000', 'l': '63794.77000000', 'v': '0.13112000', 'n': 9, 'x': True, 'q': '8364.91396120', 'V': '0.01994000', 'Q': '1272.10400460', 'B': '0'}"
kline,1714310542005,BTCUSDT,"{'t': 1714310541000, 'T': 1714310541999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024370, 'L': 3577024376, 'o': '63794.78000000', 'c': '63794.77000000', 'h': '63794.78000000', 'l': '63794.77000000', 'v': '0.60722000', 'n': 7, 'x': True, 'q': '38737.46627430', 'V': '0.60349000', 'Q': '38499.51178220', 'B': '0'}"
kline,1714310543005,BTCUSDT,"{'t': 1714310542000, 'T': 1714310542999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024377, 'L': 3577024382, 'o': '63794.77000000', 'c': '63794.78000000', 'h': '63794.78000000', 'l': '63794.77000000', 'v': '0.07157000', 'n': 6, 'x': True, 'q': '4565.79240090', 'V': '0.07120000', 'Q': '4542.18833600', 'B': '0'}"
kline,1714310544004,BTCUSDT,"{'t': 1714310543000, 'T': 1714310543999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024383, 'L': 3577024502, 'o': '63794.78000000', 'c': '63810.56000000', 'h': '63817.82000000', 'l': '63794.78000000', 'v': '12.42183000', 'n': 120, 'x': True, 'q': '792644.79734420', 'V': '12.41400000', 'Q': '792145.25634200', 'B': '0'}"
kline,1714310545005,BTCUSDT,"{'t': 1714310544000, 'T': 1714310544999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024503, 'L': 3577024504, 'o': '63816.25000000', 'c': '63816.25000000', 'h': '63816.25000000', 'l': '63816.25000000', 'v': '0.02279000', 'n': 2, 'x': True, 'q': '1454.37233750', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310546005,BTCUSDT,"{'t': 1714310545000, 'T': 1714310545999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '63816.25000000', 'c': '63816.25000000', 'h': '63816.25000000', 'l': '63816.25000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310547005,BTCUSDT,"{'t': 1714310546000, 'T': 1714310546999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024505, 'L': 3577024509, 'o': '63816.25000000', 'c': '63816.25000000', 'h': '63816.26000000', 'l': '63816.25000000', 'v': '0.03264000', 'n': 5, 'x': True, 'q': '2082.96255070', 'V': '0.01507000', 'Q': '961.71103820', 'B': '0'}"
kline,1714310548005,BTCUSDT,"{'t': 1714310547000, 'T': 1714310547999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024510, 'L': 3577024528, 'o': '63816.25000000', 'c': '63812.00000000', 'h': '63816.25000000', 'l': '63812.00000000', 'v': '0.33013000', 'n': 19, 'x': True, 'q': '21067.46820090', 'V': '0.00012000', 'Q': '7.65744120', 'B': '0'}"
kline,1714310549005,BTCUSDT,"{'t': 1714310548000, 'T': 1714310548999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024529, 'L': 3577024534, 'o': '63812.01000000', 'c': '63812.00000000', 'h': '63812.01000000', 'l': '63812.00000000', 'v': '0.30910000', 'n': 6, 'x': True, 'q': '19724.29227470', 'V': '0.30747000', 'Q': '19620.27871470', 'B': '0'}"
kline,1714310550005,BTCUSDT,"{'t': 1714310549000, 'T': 1714310549999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024535, 'L': 3577024541, 'o': '63812.00000000', 'c': '63812.00000000', 'h': '63812.01000000', 'l': '63812.00000000', 'v': '0.05253000', 'n': 7, 'x': True, 'q': '3352.04437820', 'V': '0.00182000', 'Q': '116.13785820', 'B': '0'}"
kline,1714310551005,BTCUSDT,"{'t': 1714310550000, 'T': 1714310550999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024542, 'L': 3577024542, 'o': '63812.01000000', 'c': '63812.01000000', 'h': '63812.01000000', 'l': '63812.01000000', 'v': '0.00155000', 'n': 1, 'x': True, 'q': '98.90861550', 'V': '0.00155000', 'Q': '98.90861550', 'B': '0'}"
kline,1714310552005,BTCUSDT,"{'t': 1714310551000, 'T': 1714310551999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024543, 'L': 3577024543, 'o': '63812.01000000', 'c': '63812.01000000', 'h': '63812.01000000', 'l': '63812.01000000', 'v': '0.00021000', 'n': 1, 'x': True, 'q': '13.40052210', 'V': '0.00021000', 'Q': '13.40052210', 'B': '0'}"
kline,1714310553005,BTCUSDT,"{'t': 1714310552000, 'T': 1714310552999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024544, 'L': 3577024545, 'o': '63812.01000000', 'c': '63812.01000000', 'h': '63812.01000000', 'l': '63812.01000000', 'v': '0.01072000', 'n': 2, 'x': True, 'q': '684.06474720', 'V': '0.01072000', 'Q': '684.06474720', 'B': '0'}"
kline,1714310554005,BTCUSDT,"{'t': 1714310553000, 'T': 1714310553999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '63812.01000000', 'c': '63812.01000000', 'h': '63812.01000000', 'l': '63812.01000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310555005,BTCUSDT,"{'t': 1714310554000, 'T': 1714310554999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024546, 'L': 3577024546, 'o': '63812.00000000', 'c': '63812.00000000', 'h': '63812.00000000', 'l': '63812.00000000', 'v': '0.00013000', 'n': 1, 'x': True, 'q': '8.29556000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310556005,BTCUSDT,"{'t': 1714310555000, 'T': 1714310555999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024547, 'L': 3577024643, 'o': '63812.00000000', 'c': '63833.58000000', 'h': '63833.58000000', 'l': '63812.00000000', 'v': '3.54445000', 'n': 97, 'x': True, 'q': '226213.32819810', 'V': '3.54289000', 'Q': '226113.78147810', 'B': '0'}"
kline,1714310557005,BTCUSDT,"{'t': 1714310556000, 'T': 1714310556999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024644, 'L': 3577024646, 'o': '63833.58000000', 'c': '63833.58000000', 'h': '63833.58000000', 'l': '63833.58000000', 'v': '0.33950000', 'n': 3, 'x': True, 'q': '21671.50041000', 'V': '0.33950000', 'Q': '21671.50041000', 'B': '0'}"
kline,1714310558005,BTCUSDT,"{'t': 1714310557000, 'T': 1714310557999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024647, 'L': 3577024648, 'o': '63833.57000000', 'c': '63833.57000000', 'h': '63833.57000000', 'l': '63833.57000000', 'v': '0.00182000', 'n': 2, 'x': True, 'q': '116.17709740', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310559016,BTCUSDT,"{'t': 1714310558000, 'T': 1714310558999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024649, 'L': 3577024651, 'o': '63833.57000000', 'c': '63833.57000000', 'h': '63833.57000000', 'l': '63833.57000000', 'v': '0.00097000', 'n': 3, 'x': True, 'q': '61.91856290', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310560005,BTCUSDT,"{'t': 1714310559000, 'T': 1714310559999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024652, 'L': 3577024699, 'o': '63833.57000000', 'c': '63848.26000000', 'h': '63848.26000000', 'l': '63833.57000000', 'v': '0.63856000', 'n': 48, 'x': True, 'q': '40766.07082470', 'V': '0.63704000', 'Q': '40669.03567670', 'B': '0'}"
kline,1714310561005,BTCUSDT,"{'t': 1714310560000, 'T': 1714310560999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577024700, 'L': 3577024735, 'o': '63848.26000000', 'c': '63854.86000000', 'h': '63854.87000000', 'l': '63848.25000000', 'v': '0.50043000', 'n': 36, 'x': True, 'q': '31952.21728190', 'V': '0.48210000', 'Q': '30781.76331660', 'B': '0'}"
